"idx","level_1","level_2","level_3","level_4","level_5"
1,"08001801001","08001801","080018","08","09"
2,"08001801002","08001801","080018","08","09"
3,"08001801003","08001801","080018","08","09"
4,"08001801004","08001801","080018","08","09"
5,"08001801005","08001801","080018","08","09"
6,"08001801007","08001801","080018","08","09"
7,"08001801008","08001801","080018","08","09"
8,"08002301001","08002301","080023","08","09"
9,"08003901001","08003901","080039","08","09"
10,"08003901002","08003901","080039","08","09"
11,"08003901003","08003901","080039","08","09"
12,"08003901004","08003901","080039","08","09"
13,"08004401001","08004401","080044","08","09"
14,"08005701001","08005701","080057","08","09"
15,"08005701002","08005701","080057","08","09"
16,"08005701003","08005701","080057","08","09"
17,"08005701004","08005701","080057","08","09"
18,"08005701005","08005701","080057","08","09"
19,"08006001001","08006001","080060","08","09"
20,"08006001002","08006001","080060","08","09"
21,"08006001003","08006001","080060","08","09"
22,"08006001004","08006001","080060","08","09"
23,"08006002001","08006002","080060","08","09"
24,"08006002002","08006002","080060","08","09"
25,"08006002003","08006002","080060","08","09"
26,"08006002004","08006002","080060","08","09"
27,"08006002005","08006002","080060","08","09"
28,"08007601001","08007601","080076","08","09"
29,"08007601002","08007601","080076","08","09"
30,"08007601003","08007601","080076","08","09"
31,"08007602001","08007602","080076","08","09"
32,"08007602002","08007602","080076","08","09"
33,"08008201001","08008201","080082","08","09"
34,"08009501001","08009501","080095","08","09"
35,"08009501002","08009501","080095","08","09"
36,"08009501003","08009501","080095","08","09"
37,"08009501004","08009501","080095","08","09"
38,"08009501005","08009501","080095","08","09"
39,"08009501006","08009501","080095","08","09"
40,"08009502001","08009502","080095","08","09"
41,"08009502002","08009502","080095","08","09"
42,"08009502003","08009502","080095","08","09"
43,"08010901001","08010901","080109","08","09"
44,"08010902001","08010902","080109","08","09"
45,"08010902002","08010902","080109","08","09"
46,"08010902003","08010902","080109","08","09"
47,"08011601001","08011601","080116","08","09"
48,"08012101001","08012101","080121","08","09"
49,"08013701001","08013701","080137","08","09"
50,"08014201001","08014201","080142","08","09"
51,"08015501001","08015501","080155","08","09"
52,"08015501002","08015501","080155","08","09"
53,"08015501003","08015501","080155","08","09"
54,"08015501004","08015501","080155","08","09"
55,"08015501005","08015501","080155","08","09"
56,"08015501007","08015501","080155","08","09"
57,"08015502001","08015502","080155","08","09"
58,"08015502002","08015502","080155","08","09"
59,"08015502003","08015502","080155","08","09"
60,"08015502004","08015502","080155","08","09"
61,"08015502005","08015502","080155","08","09"
62,"08015502007","08015502","080155","08","09"
63,"08015502008","08015502","080155","08","09"
64,"08015502009","08015502","080155","08","09"
65,"08015502010","08015502","080155","08","09"
66,"08015502011","08015502","080155","08","09"
67,"08015502012","08015502","080155","08","09"
68,"08015502013","08015502","080155","08","09"
69,"08015502015","08015502","080155","08","09"
70,"08015503001","08015503","080155","08","09"
71,"08015503003","08015503","080155","08","09"
72,"08015503004","08015503","080155","08","09"
73,"08015503005","08015503","080155","08","09"
74,"08015503006","08015503","080155","08","09"
75,"08015503007","08015503","080155","08","09"
76,"08015503008","08015503","080155","08","09"
77,"08015503009","08015503","080155","08","09"
78,"08015503010","08015503","080155","08","09"
79,"08015503011","08015503","080155","08","09"
80,"08015503013","08015503","080155","08","09"
81,"08015503014","08015503","080155","08","09"
82,"08015503015","08015503","080155","08","09"
83,"08015504001","08015504","080155","08","09"
84,"08015504002","08015504","080155","08","09"
85,"08015504003","08015504","080155","08","09"
86,"08015504004","08015504","080155","08","09"
87,"08015504005","08015504","080155","08","09"
88,"08015504006","08015504","080155","08","09"
89,"08015504007","08015504","080155","08","09"
90,"08015504008","08015504","080155","08","09"
91,"08015504009","08015504","080155","08","09"
92,"08015504010","08015504","080155","08","09"
93,"08015504011","08015504","080155","08","09"
94,"08015504012","08015504","080155","08","09"
95,"08015504013","08015504","080155","08","09"
96,"08015504014","08015504","080155","08","09"
97,"08015504015","08015504","080155","08","09"
98,"08015504016","08015504","080155","08","09"
99,"08015505001","08015505","080155","08","09"
100,"08015505002","08015505","080155","08","09"
101,"08015505003","08015505","080155","08","09"
102,"08015505004","08015505","080155","08","09"
103,"08015505005","08015505","080155","08","09"
104,"08015505006","08015505","080155","08","09"
105,"08015505007","08015505","080155","08","09"
106,"08015505008","08015505","080155","08","09"
107,"08015506001","08015506","080155","08","09"
108,"08015506002","08015506","080155","08","09"
109,"08015506003","08015506","080155","08","09"
