ca,pro,muni,dist,seccen,idx
09,08,080018,08001801,08001801001,1
09,08,080018,08001801,08001801001,2
09,08,080018,08001801,08001801001,3
09,08,080018,08001801,08001801002,4
09,08,080018,08001801,08001801002,5
09,08,080018,08001801,08001801002,6
09,08,080018,08001801,08001801003,7
09,08,080018,08001801,08001801003,8
09,08,080018,08001801,08001801003,9
09,08,080018,08001801,08001801004,10
09,08,080018,08001801,08001801004,11
09,08,080018,08001801,08001801004,12
09,08,080018,08001801,08001801005,13
09,08,080018,08001801,08001801005,14
09,08,080018,08001801,08001801005,15
09,08,080018,08001801,08001801007,16
09,08,080018,08001801,08001801007,17
09,08,080018,08001801,08001801007,18
09,08,080018,08001801,08001801008,19
09,08,080018,08001801,08001801008,20
09,08,080018,08001801,08001801008,21
09,08,080023,08002301,08002301001,22
09,08,080023,08002301,08002301001,23
09,08,080023,08002301,08002301001,24
09,08,080039,08003901,08003901001,25
09,08,080039,08003901,08003901001,26
09,08,080039,08003901,08003901001,27
09,08,080039,08003901,08003901002,28
09,08,080039,08003901,08003901002,29
09,08,080039,08003901,08003901002,30
09,08,080039,08003901,08003901003,31
09,08,080039,08003901,08003901003,32
09,08,080039,08003901,08003901003,33
09,08,080039,08003901,08003901004,34
09,08,080039,08003901,08003901004,35
09,08,080039,08003901,08003901004,36
09,08,080044,08004401,08004401001,37
09,08,080044,08004401,08004401001,38
09,08,080044,08004401,08004401001,39
09,08,080057,08005701,08005701001,40
09,08,080057,08005701,08005701001,41
09,08,080057,08005701,08005701001,42
09,08,080057,08005701,08005701002,43
09,08,080057,08005701,08005701002,44
09,08,080057,08005701,08005701002,45
09,08,080057,08005701,08005701003,46
09,08,080057,08005701,08005701003,47
09,08,080057,08005701,08005701003,48
09,08,080057,08005701,08005701004,49
09,08,080057,08005701,08005701004,50
09,08,080057,08005701,08005701004,51
09,08,080057,08005701,08005701005,52
09,08,080057,08005701,08005701005,53
09,08,080057,08005701,08005701005,54
09,08,080060,08006001,08006001001,55
09,08,080060,08006001,08006001001,56
09,08,080060,08006001,08006001001,57
09,08,080060,08006001,08006001002,58
09,08,080060,08006001,08006001002,59
09,08,080060,08006001,08006001002,60
09,08,080060,08006001,08006001003,61
09,08,080060,08006001,08006001003,62
09,08,080060,08006001,08006001003,63
09,08,080060,08006001,08006001004,64
09,08,080060,08006001,08006001004,65
09,08,080060,08006001,08006001004,66
09,08,080060,08006002,08006002001,67
09,08,080060,08006002,08006002001,68
09,08,080060,08006002,08006002001,69
09,08,080060,08006002,08006002002,70
09,08,080060,08006002,08006002002,71
09,08,080060,08006002,08006002002,72
09,08,080060,08006002,08006002003,73
09,08,080060,08006002,08006002003,74
09,08,080060,08006002,08006002003,75
09,08,080060,08006002,08006002004,76
09,08,080060,08006002,08006002004,77
09,08,080060,08006002,08006002004,78
09,08,080060,08006002,08006002005,79
09,08,080060,08006002,08006002005,80
09,08,080060,08006002,08006002005,81
09,08,080076,08007601,08007601001,82
09,08,080076,08007601,08007601001,83
09,08,080076,08007601,08007601001,84
09,08,080076,08007601,08007601002,85
09,08,080076,08007601,08007601002,86
09,08,080076,08007601,08007601002,87
09,08,080076,08007601,08007601003,88
09,08,080076,08007601,08007601003,89
09,08,080076,08007601,08007601003,90
09,08,080076,08007602,08007602001,91
09,08,080076,08007602,08007602001,92
09,08,080076,08007602,08007602001,93
09,08,080076,08007602,08007602002,94
09,08,080076,08007602,08007602002,95
09,08,080076,08007602,08007602002,96
09,08,080082,08008201,08008201001,97
09,08,080082,08008201,08008201001,98
09,08,080082,08008201,08008201001,99
09,08,080095,08009501,08009501001,100
09,08,080095,08009501,08009501001,101
09,08,080095,08009501,08009501001,102
09,08,080095,08009501,08009501002,103
09,08,080095,08009501,08009501002,104
09,08,080095,08009501,08009501002,105
09,08,080095,08009501,08009501003,106
09,08,080095,08009501,08009501003,107
09,08,080095,08009501,08009501003,108
09,08,080095,08009501,08009501004,109
