id,area,Y,M,O,total
01,87745.6712938183,1662016,4546663,2194782,8403461
02,47741.036415661,215930,639296,448721,1303947
03,10606.0605083705,208855,567850,256261,1032966
04,4989.22420016518,131916,587718,404453,1124087
05,7453.09313041451,498971,1138952,467693,2105616
06,5258.89155498457,141085,328815,121793,591693
07,93908.5178809838,535963,1334599,551232,2421794
08,79508.0121691964,398636,1144949,550624,2094209
09,32142.3294157687,1135976,3955252,2428863,7520091
10,23289.1044166649,1009516,2662935,1280693,4953144
11,41694.1908102957,177026,566502,351033,1094561
12,29588.577733193,514046,1472561,743957,2730564
13,8038.90715037785,1303996,3472625,1578053,6354674
14,11331.2973114329,301514,832416,336567,1470497
15,9613.36995415619,132956,349930,155419,638305
16,7081.19320185768,458715,1260378,437588,2156681
17,5030.88308023627,65858,178229,71137,315224
18,19.3327431039314,9921,47409,26461,83791
19,13.2688390877522,3520,50220,30835,84575
