"id","idx","Y","M","O"
"4109101",2309,0.72,0.96,4.32
"5029702",2825,0.48,0.64,2.88
"3304411",1929,0.12,0.16,0.72
"0704002",314,0.12,0.16,0.72
"3803802",2141,0.12,0.16,0.72
"3907502",2193,0.12,0.16,0.72
"4718601",2678,2.4,3.2,14.4
"4516801_AD",2493,1.8,2.4,10.8
"0801902",360,2.4,3.2,14.4
"4625001",2628,0.96,1.28,5.76
"1003704",630,0.48,0.64,2.88
"1507805",947,0.24,0.32,1.44
"2807901",1573,6,8,36
"3003002",1767,0.12,0.16,0.72
"3120101",1821,0.48,0.64,2.88
"0105901",10,0.36,0.48,2.16
"2608903",1455,0.48,0.64,2.88
"5100101",2838,0.012,0.016,0.072
"5200102",2845,0.012,0.016,0.072
