"idx","level_1","level_2","level_3","level_4"
1,"01001_AM","01","16","01"
2,"01002","01","16","01"
3,"01010_AM","01","16","01"
4,"01031_AM","01","16","01"
5,"01036","01","16","01"
6,"01043_AM","01","16","01"
7,"01047_AM","01","16","01"
8,"01051","01","16","01"
9,"01058_AM","01","16","01"
10,"0105901","01","16","01"
11,"0105902","01","16","01"
12,"0105903","01","16","01"
13,"0105904","01","16","01"
14,"0105905","01","16","01"
15,"0105906","01","16","01"
16,"01063_AM","01","16","01"
17,"01901_AM","01","16","01"
18,"0200301","02","08","01"
19,"0200302","02","08","01"
20,"0200303","02","08","01"
21,"0200304","02","08","01"
22,"0200305","02","08","01"
23,"0200306","02","08","01"
24,"0200307","02","08","01"
25,"0200308","02","08","01"
26,"02008_AM","02","08","01"
27,"02009","02","08","01"
28,"02010_AM","02","08","01"
29,"02012_AM","02","08","01"
30,"02021_AM","02","08","01"
31,"02024_AM","02","08","01"
32,"02025","02","08","01"
33,"02029_AM","02","08","01"
34,"02030_AM","02","08","01"
35,"02033_AM","02","08","01"
36,"02037","02","08","01"
37,"02045_AM","02","08","01"
38,"02053_AM","02","08","01"
39,"02063_AM","02","08","01"
40,"02067_AM","02","08","01"
41,"02069_AM","02","08","01"
42,"02073_AM","02","08","01"
43,"02074","02","08","01"
44,"02079_AM","02","08","01"
45,"02081","02","08","01"
46,"02086_AM","02","08","01"
47,"03002_AM","03","10","01"
48,"03005_AM","03","10","01"
49,"0300901","03","10","01"
50,"0300902","03","10","01"
51,"0300903","03","10","01"
52,"0300904","03","10","01"
53,"0300905","03","10","01"
54,"0300906","03","10","01"
55,"0300907","03","10","01"
56,"0300908","03","10","01"
57,"03011","03","10","01"
58,"0301401","03","10","01"
59,"0301402","03","10","01"
60,"0301403","03","10","01"
61,"0301404","03","10","01"
62,"0301405","03","10","01"
63,"0301406","03","10","01"
64,"0301407","03","10","01"
65,"0301408","03","10","01"
66,"03015","03","10","01"
67,"03018","03","10","01"
68,"03019","03","10","01"
69,"03021","03","10","01"
70,"03024","03","10","01"
71,"03026_AM","03","10","01"
72,"03028_AM","03","10","01"
73,"0303101","03","10","01"
74,"0303102","03","10","01"
75,"0303103","03","10","01"
76,"0303104","03","10","01"
77,"03035_AM","03","10","01"
78,"03041","03","10","01"
79,"03043_AM","03","10","01"
80,"03044_AM","03","10","01"
81,"03046_AM","03","10","01"
82,"03047","03","10","01"
83,"03048","03","10","01"
84,"03049","03","10","01"
85,"03050","03","10","01"
86,"03053","03","10","01"
87,"03055","03","10","01"
88,"03056","03","10","01"
89,"03058_AM","03","10","01"
90,"03059","03","10","01"
91,"03063","03","10","01"
92,"03064","03","10","01"
93,"0306501","03","10","01"
94,"0306502","03","10","01"
95,"0306503","03","10","01"
96,"0306504","03","10","01"
97,"0306505","03","10","01"
98,"0306506","03","10","01"
99,"0306507","03","10","01"
100,"0306601","03","10","01"
101,"0306602_AD","03","10","01"
102,"0306604","03","10","01"
103,"0306605","03","10","01"
104,"03069","03","10","01"
105,"03070_AM","03","10","01"
106,"03071","03","10","01"
107,"03076","03","10","01"
108,"03077_AM","03","10","01"
109,"03079","03","10","01"
110,"03081_AM","03","10","01"
111,"03082","03","10","01"
112,"03083","03","10","01"
113,"03088","03","10","01"
114,"03089","03","10","01"
115,"03090","03","10","01"
116,"03092_AM","03","10","01"
117,"03093","03","10","01"
118,"03094","03","10","01"
119,"03095","03","10","01"
120,"03096","03","10","01"
121,"03097_AM","03","10","01"
122,"0309901","03","10","01"
123,"0309902","03","10","01"
124,"0309903","03","10","01"
125,"0309904","03","10","01"
126,"0309905","03","10","01"
127,"0309906","03","10","01"
128,"0309907","03","10","01"
129,"0309908","03","10","01"
130,"03101","03","10","01"
131,"03102","03","10","01"
132,"03104","03","10","01"
133,"03105","03","10","01"
134,"03107","03","10","01"
135,"03109","03","10","01"
136,"03111","03","10","01"
137,"03113","03","10","01"
138,"03118","03","10","01"
139,"03119","03","10","01"
140,"03120","03","10","01"
141,"03121","03","10","01"
142,"0312201","03","10","01"
143,"0312202","03","10","01"
144,"0312203","03","10","01"
145,"03123_AM","03","10","01"
146,"03128_AM","03","10","01"
147,"0313301","03","10","01"
148,"0313302","03","10","01"
149,"0313303","03","10","01"
150,"03138_AM","03","10","01"
151,"03139","03","10","01"
152,"03140","03","10","01"
153,"03902","03","10","01"
154,"03903_AM","03","10","01"
155,"04003","04","01","01"
156,"04006","04","01","01"
157,"04011_AM","04","01","01"
158,"0401301_AD","04","01","01"
159,"0401303","04","01","01"
160,"0401304","04","01","01"
161,"0401305","04","01","01"
162,"0401306","04","01","01"
163,"0401307","04","01","01"
164,"0401308","04","01","01"
165,"04016_AM","04","01","01"
166,"04017_AM","04","01","01"
167,"04024_AM","04","01","01"
168,"04029","04","01","01"
169,"04031_AM","04","01","01"
170,"04032","04","01","01"
171,"04035","04","01","01"
172,"04038_AM","04","01","01"
173,"04045_AM","04","01","01"
174,"04047_AM","04","01","01"
175,"04049","04","01","01"
176,"04050_AM","04","01","01"
177,"04052","04","01","01"
178,"04053","04","01","01"
179,"04057_AM","04","01","01"
180,"04062_AM","04","01","01"
181,"04064","04","01","01"
182,"04066","04","01","01"
183,"04069","04","01","01"
184,"04070_AM","04","01","01"
185,"04075","04","01","01"
186,"0407901","04","01","01"
187,"0407902","04","01","01"
188,"04088_AM","04","01","01"
189,"04092_AM","04","01","01"
190,"04093_AM","04","01","01"
191,"04098_AM","04","01","01"
192,"04099","04","01","01"
193,"04100","04","01","01"
194,"04101","04","01","01"
195,"04102","04","01","01"
196,"0490201","04","01","01"
197,"04903","04","01","01"
198,"05002_AM","05","07","01"
199,"05014_AM","05","07","01"
200,"05016","05","07","01"
201,"0501901_AD","05","07","01"
202,"0501904","05","07","01"
203,"0501905","05","07","01"
204,"0501906","05","07","01"
205,"05021_AM","05","07","01"
206,"05047","05","07","01"
207,"05054_AM","05","07","01"
208,"05057_AM","05","07","01"
209,"05114_AM","05","07","01"
210,"05132_AM","05","07","01"
211,"05163_AM","05","07","01"
212,"05168_AM","05","07","01"
213,"05186_AM","05","07","01"
214,"05204_AM","05","07","01"
215,"05220_AM","05","07","01"
216,"05238_AM","05","07","01"
217,"05240_AM","05","07","01"
218,"05241_AM","05","07","01"
219,"05242_AM","05","07","01"
220,"06002","06","11","01"
221,"06005_AM","06","11","01"
222,"06006","06","11","01"
223,"06011","06","11","01"
224,"06012_AM","06","11","01"
225,"06014_AM","06","11","01"
226,"0601501","06","11","01"
227,"0601502","06","11","01"
228,"0601503","06","11","01"
229,"0601504","06","11","01"
230,"0601505","06","11","01"
231,"0601506","06","11","01"
232,"0601507","06","11","01"
233,"0601508","06","11","01"
234,"0601509","06","11","01"
235,"0601510","06","11","01"
236,"06016_AM","06","11","01"
237,"06019_AM","06","11","01"
238,"06022_AM","06","11","01"
239,"06023_AM","06","11","01"
240,"06025","06","11","01"
241,"06028_AM","06","11","01"
242,"06036_AM","06","11","01"
243,"06044_AM","06","11","01"
244,"06050_AM","06","11","01"
245,"06052_AM","06","11","01"
246,"06054","06","11","01"
247,"06055_AM","06","11","01"
248,"06060_AM","06","11","01"
249,"06063_AM","06","11","01"
250,"06066_AM","06","11","01"
251,"06069_AM","06","11","01"
252,"06070_AM","06","11","01"
253,"06072_AM","06","11","01"
254,"06074_AM","06","11","01"
255,"0608301","06","11","01"
256,"0608302_AD","06","11","01"
257,"0608303","06","11","01"
258,"0608304","06","11","01"
259,"0608306","06","11","01"
260,"06085_AM","06","11","01"
261,"06088_AM","06","11","01"
