"idx","level_2","level_3","level_4"
1,"01","16","01"
2,"02","08","01"
3,"03","10","01"
4,"04","01","01"
5,"05","07","01"
6,"06","11","01"
7,"07","04","01"
8,"08","09","01"
9,"09","07","01"
10,"10","11","01"
11,"11","01","01"
12,"12","10","01"
13,"13","08","01"
14,"14","01","01"
15,"15","12","01"
16,"16","08","01"
17,"17","09","01"
18,"18","01","01"
19,"19","08","01"
20,"20","16","01"
21,"21","01","01"
22,"22","02","01"
23,"23","01","01"
24,"24","07","01"
25,"25","09","01"
26,"26","17","01"
27,"27","12","01"
28,"28","13","01"
29,"29","01","01"
30,"30","14","01"
31,"31","15","01"
32,"32","12","01"
33,"33","03","01"
34,"34","07","01"
35,"35","05","01"
36,"36","12","01"
37,"37","07","01"
38,"38","05","01"
39,"39","06","01"
40,"40","07","01"
41,"41","01","01"
42,"42","07","01"
43,"43","09","01"
44,"44","02","01"
45,"45","08","01"
46,"46","10","01"
47,"47","07","01"
48,"48","16","01"
49,"49","07","01"
50,"50","02","01"
51,"51","18","01"
52,"52","19","01"
